City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,274.56,82,16,4.04,GS,1683566659
1,tiksi,71.6872,128.8694,258.08,96,78,3.18,RU,1683566691
2,san patricio,28.017,-97.5169,303.81,60,57,7.65,US,1683566725
3,yellowknife,62.456,-114.3525,284.44,62,75,2.57,CA,1683566643
4,adamstown,-25.066,-130.1015,294.56,56,98,8.65,PN,1683566639
5,remire-montjoly,4.9167,-52.2667,303.17,70,75,6.69,GF,1683567118
6,albany,42.6001,-73.9662,294.28,41,11,0.89,US,1683566530
7,papatowai,-46.5619,169.4708,287.31,88,100,3.53,NZ,1683566642
8,olonkinbyen,70.9221,-8.7187,274.91,100,100,2.7,SJ,1683566655
9,tazacorte,28.629,-17.9293,295.69,68,20,9.26,ES,1683566822
10,ushuaia,-54.8,-68.3,283.96,43,40,6.69,AR,1683566658
11,port elizabeth,-33.918,25.5701,292.65,92,0,3.09,ZA,1683566642
12,rongelap,11.1635,166.8941,300.27,83,96,8.19,MH,1683567120
13,ilulissat,69.2167,-51.1,273.16,86,75,2.06,GL,1683566640
14,ketchikan,55.3422,-131.6461,282.41,76,40,2.06,US,1683567121
15,pandan,14.0453,124.1694,299.04,84,7,1.52,PH,1683566936
16,invercargill,-46.4,168.35,286.15,94,95,2.97,NZ,1683566657
17,isafjordur,66.0755,-23.124,281.17,81,20,7.2,IS,1683566652
18,ukwa,21.9667,80.4667,301.78,38,36,0.42,IN,1683567122
19,nampula,-15.1165,39.2666,296.12,64,20,3.09,MZ,1683567123
20,el granada,37.5027,-122.4694,289.64,90,75,5.66,US,1683567123
21,hawaiian paradise park,19.5933,-154.9731,296.5,86,20,2.06,US,1683566646
22,sijunjung,-0.6876,100.9537,294.82,89,98,0.84,ID,1683567124
23,rabo de peixe,37.8,-25.5833,290.88,88,75,3.09,PT,1683567124
24,guerrero negro,27.9769,-114.0611,291.04,65,2,9.06,MX,1683566639
25,yigou,35.8114,114.3167,288.26,39,100,2.77,CN,1683567125
26,kodiak,57.79,-152.4072,275.88,81,100,7.72,US,1683566678
27,bonthe,7.5264,-12.505,303.26,69,100,6.06,SL,1683566934
28,yaren,-0.5472,166.916,301.8,75,97,3.31,NR,1683567126
29,atafu village,-8.5421,-172.5159,301.83,77,17,5.74,TK,1683566659
30,saint-louis,16.3333,-15.0,315.95,7,21,2.79,SN,1683567126
31,columbus,39.9612,-82.9988,297.43,67,100,2.06,US,1683567126
32,nicoya,10.1483,-85.452,307.98,28,100,3.35,CR,1683567032
33,bredasdorp,-34.5322,20.0403,287.85,89,81,1.85,ZA,1683566654
34,rath,25.5833,79.5667,306.93,25,24,1.31,IN,1683567127
35,uturoa,-16.7333,-151.4333,300.78,72,38,3.28,PF,1683567127
36,port-aux-francais,-49.35,70.2167,277.93,89,100,14.1,TF,1683566654
37,blackmans bay,-43.0167,147.3167,282.44,77,100,5.57,AU,1683566651
38,pekanbaru,0.5333,101.45,299.33,94,75,0.0,ID,1683567128
39,happy valley-goose bay,53.3168,-60.3315,277.32,65,100,7.2,CA,1683566717
40,fortuna,40.5982,-124.1573,286.12,79,100,3.59,US,1683566822
41,kotido,2.9806,34.1331,295.57,75,99,1.14,UG,1683567129
42,sungai penuh,-2.0833,101.3833,291.24,92,95,0.94,ID,1683567130
43,miles city,46.4083,-105.8406,288.69,58,20,2.06,US,1683567130
44,lorengau,-2.0226,147.2712,301.05,78,96,2.18,PG,1683567130
45,i-n-salah,27.1935,2.4607,309.49,8,36,6.74,DZ,1683567131
46,aykhal,66.0,111.5,267.75,95,100,5.63,RU,1683566878
47,college,64.8569,-147.8028,279.03,67,100,2.06,US,1683566644
48,constantia,44.1833,28.65,283.54,92,100,5.66,RO,1683566653
49,alegrete,-29.7831,-55.7919,293.89,58,0,2.92,BR,1683567132
50,kurumkan,54.3,110.3,278.94,68,14,0.99,RU,1683567132
51,kiffa,16.6166,-11.4045,313.52,7,100,4.17,MR,1683567133
52,puerto natales,-51.7236,-72.4875,280.4,65,75,1.54,CL,1683566655
53,kuta,-8.7233,115.1723,301.12,88,40,5.81,ID,1683567133
54,cockburn town,21.4612,-71.1419,299.64,75,15,6.62,TC,1683566789
55,dudinka,69.4058,86.1778,271.83,91,97,4.89,RU,1683566742
56,kruisfontein,-34.0033,24.7314,291.42,90,92,1.22,ZA,1683566874
57,tofol,5.3248,163.0078,300.42,79,100,2.29,FM,1683567134
58,hermanus,-34.4187,19.2345,290.26,88,100,1.6,ZA,1683566664
59,talnakh,69.4865,88.3972,271.6,96,100,3.88,RU,1683566713
60,ribeira grande,38.5167,-28.7,290.37,88,40,3.58,PT,1683566680
61,zarghun shahr,32.8473,68.4457,288.38,22,0,4.18,AF,1683567136
62,iqaluit,63.7506,-68.5145,268.0,73,20,9.26,CA,1683566661
63,codrington,-38.2667,141.9667,285.39,75,99,4.55,AU,1683566752
64,afaahiti,-17.75,-149.2833,298.08,76,98,2.15,PF,1683566685
65,arti,56.4234,58.5328,275.45,61,51,1.73,RU,1683567137
66,colonel hill,22.7667,-74.2167,299.2,76,76,5.86,BS,1683567137
67,lebu,-37.6167,-73.65,285.66,61,94,6.32,CL,1683566822
68,suva,-18.1416,178.4415,295.86,94,75,2.57,FJ,1683567138
69,el calafate,-50.3408,-72.2768,279.73,55,65,0.59,AR,1683566677
70,watsa,3.0372,29.5355,290.6,98,85,2.26,CD,1683567138
71,puerto armuelles,8.2833,-82.8667,305.14,54,47,2.96,PA,1683566812
72,ancud,-41.8697,-73.8203,282.38,74,100,1.12,CL,1683566792
73,waitangi,-43.9535,-176.5597,287.49,95,100,2.24,NZ,1683566657
74,tolanaro,-25.0319,46.9987,297.19,88,20,8.23,MG,1683566683
75,altagracia de orituco,9.8601,-66.3814,307.98,33,52,3.17,VE,1683567140
76,vidyayevo,69.3191,32.8049,273.89,88,98,5.14,RU,1683567140
77,west island,-12.1568,96.8225,300.14,89,75,4.12,CC,1683566647
78,torbat-e jam,35.244,60.6225,293.88,25,0,3.61,IR,1683567141
79,avarua,-21.2078,-159.775,297.18,94,100,5.66,CK,1683566668
80,alice springs,-23.7,133.8833,275.9,60,0,6.88,AU,1683566689
81,enewetak,11.3474,162.3373,300.34,80,99,5.98,MH,1683566645
82,ngereklmadel,7.4883,134.4856,298.2,94,75,0.0,PW,1683567142
83,camana,-16.6228,-72.7111,297.32,68,32,4.19,PE,1683567142
84,quibala,-10.7337,14.98,295.02,70,76,1.17,AO,1683567143
